Code,M201_1.1,M201_1.2,M201_2.1,M201_3.1,M201_3.2,M201_4.1,M201_4.2,M201_4.3,M201_4.4,M201_5.1,M201_5.2,M201_Q1,M201_QS1,M201_Q2,M201_QS2,M201_Q3,M201_QS3,M201_Q4,M201_QS4,M201_Q5,M201_QS5,M201-k,M201-u,M201-u-k,M301_1.1,M301_1.2,M301_2.1,M301_3.1,M301_3.2,M301_4.1,M301_4.2,M301_4.3,M301_4.4,M301_5.1,M301_5.2,M301_Q1,M301_QS1,M301_Q2,M301_QS2,M301_Q3,M301_QS3,M301_Q4,M301_QS4,M301_Q5,M301_QS5,M301-k,M301-u,M301-u-k,M305_1.1,M305_1.2,M305_2.1,M305_3.1,M305_3.2,M305_4.1,M305_4.2,M305_4.3,M305_4.4,M305_5.1,M305_5.2,M305_Q1,M305_QS1,M305_Q2,M305_QS2,M305_Q3,M305_QS3,M305_Q4,M305_QS4,M305_Q5,M305_QS5,M305-k,M305-u,M305-u-k,NoteMathe,NoteNatW,Weiblich,B1,B1s,B2,B3,B4,B4s,B5,B6,B7,B7s,B8,B9,B10,B10i,B11,B12,B12i,SESSKOabs
ABCF_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,4.5,4.8,0,3,3.6666666667,3,2,3,3.6666666667,2,2,3,3.6666666667,2,2,2,3.6666666667,2,1,5,22.0833333333
ABCF_2,1,0,3,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,3,3,0,3.8,3.7,1,3,3.6666666667,3,3,2,2.3333333333,2,1,2,2.3333333333,2,3,2,3.6666666667,2,2,3.6666666667,17.9166666667
ABCF_3,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5.3,4.4,1,3,3.6666666667,3,4,3,3.6666666667,2,2,2,2.3333333333,2,2,2,3.6666666667,2,2,3.6666666667,19.1666666667
ABCF_4,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,4.5,4.8,0,3,3.6666666667,3,2,3,3.6666666667,2,2,2,2.3333333333,2,2,2,3.6666666667,2,2,3.6666666667,19.1666666667
ABCF_5,0,1,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,4.3,0,2,2.3333333333,3,2,2,2.3333333333,2,1,2,2.3333333333,3,3,3,2.3333333333,3,2,3.6666666667,15
ABCF_6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,2,1,5.5,5,0,3,3.6666666667,4,3,4,5,2,2,3,3.6666666667,,3,4,1,,2,3.6666666667,18.3333333333
ABCF_7,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,2,5,5,1,3,3.6666666667,3,3,3,3.6666666667,3,2,3,3.6666666667,3,3,3,2.3333333333,3,2,3.6666666667,18.75
ABCF_11,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,3,3,0,5.5,,1,3,3.6666666667,3,2,3,3.6666666667,3,3,4,5,3,2,1,5,3,2,3.6666666667,23.3333333333
ABCF_12,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,5.1,5.6,0,4,5,4,2,4,5,1,3,4,5,2,2,2,3.6666666667,2,3,2.3333333333,22.5
ABCF_13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,6,1,3,3.6666666667,3,3,4,5,3,3,3,3.6666666667,2,2,2,3.6666666667,,1,5,23.3333333333
ABCF_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,,1,1,1,4,4,1,1,1,1,1,1,2,3,2,3.6666666667,2,2,3.6666666667,12.9166666667
ABCF_15,1,1,2,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,3,1,1,1,3,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,3,1,1,1,2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,3,1,5,5.3,1,3,3.6666666667,2,2,3,3.6666666667,3,3,4,5,2,1,2,3.6666666667,2,2,3.6666666667,21.6666666667
ABCF_20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,4.6,1,3,3.6666666667,2,2,3,3.6666666667,3,2,3,3.6666666667,1,2,2,3.6666666667,1,2,3.6666666667,20.4166666667
ABCF_21,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,2,2,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,2,1,3.9,3.3,0,3,3.6666666667,3,2,3,3.6666666667,2,2,3,3.6666666667,2,2,2,3.6666666667,2,2,3.6666666667,20.4166666667
ABCF_22,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,2,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,3,3,1,1,3,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,2,4,2,3.3,4.7,0,2,2.3333333333,1,1,3,3.6666666667,3,2,2,2.3333333333,1,1,2,3.6666666667,1,1,5,19.5833333333
ABCF_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,2,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,4,3,3.7,4.3,0,2,2.3333333333,3,2,3,3.6666666667,,2,2,2.3333333333,,2,2,3.6666666667,3,2,3.6666666667,17.9166666667
ABCF_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,4.8,4.1,0,3,3.6666666667,3,2,4,5,3,2,3,3.6666666667,3,1,1,5,2,1,5,25
ABCF_25,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,2,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,3,2,4.3,3.6,1,3,3.6666666667,2,3,3,3.6666666667,3,2,,-1,3,2,2,3.6666666667,3,1,5,18.3333333333
ACBF_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,2,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,5.6,1,4,5,3,1,4,5,3,3,4,5,2,1,1,5,1,1,5,27.5
ACBF_2,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,3,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,2,3,1,1,1,2,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,3,4,1,3.1,4.9,1,2,2.3333333333,2,1,3,3.6666666667,2,1,3,3.6666666667,3,3,1,5,2,1,5,22.5
ACBF_3,1,0,2,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,2,4,2,1,1,2,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,5.1,4.7,1,3,3.6666666667,2,1,4,5,3,2,4,5,2,1,1,5,1,1,5,26.25
ACBF_4,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,3.5,,1,,-1,4,4,3,3.6666666667,1,1,3,3.6666666667,2,1,2,3.6666666667,2,2,3.6666666667,16.6666666667
ACBF_5,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,2,1,4.7,,1,2,2.3333333333,4,2,4,5,2,2,3,3.6666666667,1,2,2,3.6666666667,1,1,5,22.0833333333
ACBF_6,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,3,4,1,4.7,5.2,1,3,3.6666666667,3,3,4,5,3,3,3,3.6666666667,1,2,2,3.6666666667,1,1,5,23.3333333333
ACBF_7,1,0,2,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,2,4.75,,1,4,5,2,1,4,5,3,2,3,3.6666666667,1,2,1,5,1,1,5,26.25
ACBF_8,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,3,1,1,1,3,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,3,3,0,4.9,4.7,1,3,3.6666666667,2,2,3,3.6666666667,2,2,3,3.6666666667,2,2,3,2.3333333333,1,2,3.6666666667,18.75
ACBF_10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1,3,3.6666666667,3,4,3,3.6666666667,4,3,4,5,2,1,3,2.3333333333,2,2,3.6666666667,20
ACBF_11,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,2,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,1,1,2,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,3,1,5.9,5.7,1,3,3.6666666667,2,1,3,3.6666666667,3,2,3,3.6666666667,1,1,1,5,2,1,5,23.75
ACBF_12,1,1,2,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,1,1,3,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,3,3,0,1,1,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,3,3,0,5.7,5.25,1,4,5,2,2,3,3.6666666667,2,2,3,3.6666666667,2,2,1,5,2,1,5,25
ACBF_14,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,5.2,5.2,,3,3.6666666667,2,2,3,3.6666666667,3,2,3,3.6666666667,2,2,1,5,2,1,5,23.75
ACBF_15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,5,0,3,3.6666666667,2,2,4,5,3,3,3,3.6666666667,3,3,2,3.6666666667,3,2,3.6666666667,21.6666666667
ACBF_16,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,4.5,4.5,0,4,5,3,4,4,5,3,3,4,5,1,2,3,2.3333333333,2,3,2.3333333333,20.8333333333
ACBF_20,1,1,2,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,2,1,4.8,5.4,0,3,3.6666666667,3,1,3,3.6666666667,3,3,4,5,2,1,2,3.6666666667,1,2,3.6666666667,21.6666666667
ACBF_21,1,1,2,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,2,4,2,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,2,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0,4.5,3.6,1,3,3.6666666667,2,2,3,3.6666666667,,3,3,3.6666666667,2,1,2,3.6666666667,1,2,3.6666666667,20.4166666667
ACBF_22,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,3,4,1,5,3.9,1,4,5,2,1,3,3.6666666667,3,3,4,5,1,1,1,5,1,1,5,26.25
ACBF_23,1,1,0,0,0,1,0,1,1,0,2,1,1,0,0,0,0,1,0,1,0,1,3,2,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,2,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,4,3,5,4.7,1,3,3.6666666667,2,2,3,3.6666666667,2,2,4,5,2,2,1,5,2,1,5,25
